|         |  coevol_uo_40  |  coevol_uo_d_30  |  coevol_uo2_50  |  ifs  |  nsga3_doc_p  |  nsga3_doc_d  |  nsga2_doc_p  |  nsga2_doc_d  |  nsga3_all  |  nsga2_dof_wh_3  |  nsga3_dof_wh_3  |  nsga2_dof_w_3  |  nsga3_dof_w_3  |  nsga2_all  |  gp  |  cov_ht_bp  |
|---------|----------------|------------------|-----------------|-------|---------------|---------------|---------------|---------------|-------------|------------------|------------------|-----------------|-----------------|-------------|------|-------------|
|  mux6   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  maj6   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  cmp6   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
| malcev5 |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
| malcev3 |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  par5   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
| malcev1 |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
| malcev2 |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  disc3  |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  maj8   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  cmp8   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  disc5  |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
| malcev4 |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  disc2  |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  disc1  |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  mux11  |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  disc4  |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
|  par7   |       30       |        30        |       30        |  30   |      30       |      30       |      30       |      30       |     30      |        30        |        30        |       30        |       30        |     30      |  30  |     30      |
